SEA-DOO,GTI 90,15500
SEA-DOO,GTI 130,18500
SEA-DOO,GTI SE 130,19500
SEA-DOO,GTI SE 155,21500
SEA-DOO,GTI SE 170,23500
SEA-DOO,GTX 155,24500
SEA-DOO,GTX 230,32500
SEA-DOO,GTX Limited 230,35500
SEA-DOO,RXT-X 300,45500
SEA-DOO,RXP-X 300,44500
SEA-DOO,WAKE 155,26500
SEA-DOO,WAKE PRO 230,34500
YAMAHA,VX Cruiser,19500
YAMAHA,VX Deluxe,18500
YAMAHA,VX Limited,21500
YAMAHA,EX Sport,11500
YAMAHA,EX Deluxe,12500
YAMAHA,GP1800 SVHO,25500
YAMAHA,GP1800R SVHO,27500
YAMAHA,FX Cruiser SVHO,23500
YAMAHA,FX Limited SVHO,25500
YAMAHA,FX SVHO,22500
YAMAHA,SuperJet,15500
KAWASAKI,STX 160,16500
KAWASAKI,STX 160LX,18500
KAWASAKI,Ultra 310LX,33500
KAWASAKI,Ultra 310X,31500
KAWASAKI,Ultra 310R,35500
KAWASAKI,SX-R,14500
